Tracked Entity Instance ID,Attribute,Value
uumMF8OX5Uk,Ewi7FUfcHAD,b'123456789mkio'
uumMF8OX5Uk,GnL13HAVFOm,b'Male'
uumMF8OX5Uk,jWjSY7cktaQ,b'gasuka'
uumMF8OX5Uk,sB1IHYu2xQT,b'Moses'
uumMF8OX5Uk,ENRjVGxVL6l,b'bob'
uumMF8OX5Uk,Gy1jHsTp9P6,b'40'
LA6CcIF1YoU,ENRjVGxVL6l,b'Namu'
LA6CcIF1YoU,EY16LvzGlPr,b'202102120'
LA6CcIF1YoU,Ewi7FUfcHAD,b'122332646bkbkmbm'
LA6CcIF1YoU,Xhdn49gUd52,b'6c Kabaka Anjagala Road'
LA6CcIF1YoU,bfSL6Bi0zDu,b'2006-01-01'
LA6CcIF1YoU,oindugucx72,b'FEMALE'
LA6CcIF1YoU,sB1IHYu2xQT,b'Suzan'
LA6CcIF1YoU,Gy1jHsTp9P6,b'33'
tz4jgYLYRNB,Ewi7FUfcHAD,b'627781863n'
tz4jgYLYRNB,GnL13HAVFOm,b'Male'
tz4jgYLYRNB,ZkNZOxS24k7,b'1407/10'
tz4jgYLYRNB,jWjSY7cktaQ,b'Cade'
tz4jgYLYRNB,sB1IHYu2xQT,b'Namuddu'
tz4jgYLYRNB,ENRjVGxVL6l,b'Mugala'
tz4jgYLYRNB,Gy1jHsTp9P6,b'48'
oeRrkPddeK2,Ewi7FUfcHAD,b'288000996d'
oeRrkPddeK2,GnL13HAVFOm,b'Male'
oeRrkPddeK2,ZkNZOxS24k7,b'4993/17'
oeRrkPddeK2,jWjSY7cktaQ,b'Fabre'
oeRrkPddeK2,sB1IHYu2xQT,b'Ocan'
oeRrkPddeK2,ENRjVGxVL6l,b'Musimenta'
oeRrkPddeK2,Gy1jHsTp9P6,b'56'
PPzynE7aUyH,Ewi7FUfcHAD,b'429469607w'
PPzynE7aUyH,GnL13HAVFOm,b'Male'
PPzynE7aUyH,ZkNZOxS24k7,b'2004/82'
PPzynE7aUyH,jWjSY7cktaQ,b'Nantale'
PPzynE7aUyH,sB1IHYu2xQT,b'Apiyo'
PPzynE7aUyH,ENRjVGxVL6l,b'Nantongo'
PPzynE7aUyH,Gy1jHsTp9P6,b'39'
BG2VZFiRCuK,ENRjVGxVL6l,b'Atimango'
BG2VZFiRCuK,sB1IHYu2xQT,b'Kansiime'
BG2VZFiRCuK,Ewi7FUfcHAD,b'222819468n'
BG2VZFiRCuK,ZkNZOxS24k7,b'2228/68'
BG2VZFiRCuK,jWjSY7cktaQ,b'Namazzi'
BG2VZFiRCuK,GnL13HAVFOm,b'Female'
BG2VZFiRCuK,Gy1jHsTp9P6,b'55'
GUEkvMKONmG,Ewi7FUfcHAD,b'461081363q'
GUEkvMKONmG,GnL13HAVFOm,b'Male'
GUEkvMKONmG,ZkNZOxS24k7,b'8250/92'
GUEkvMKONmG,jWjSY7cktaQ,b'Bacia'
GUEkvMKONmG,sB1IHYu2xQT,b'Nagawa'
GUEkvMKONmG,ENRjVGxVL6l,b'Lakot'
GUEkvMKONmG,Gy1jHsTp9P6,b'62'
JQHWlHZ6Yqr,Ewi7FUfcHAD,b'354191796s'
JQHWlHZ6Yqr,GnL13HAVFOm,b'Female'
JQHWlHZ6Yqr,ZkNZOxS24k7,b'5228/11'
JQHWlHZ6Yqr,jWjSY7cktaQ,b'Faatih'
JQHWlHZ6Yqr,sB1IHYu2xQT,b'Kabagambe'
